,Id,TagName,Count,ExcerptPostId,WikiPostId
0,1,definitions,18,105,104
1,2,machine-learning,2859,4909,4908
2,3,bigdata,285,66,65
3,5,data-mining,615,80,79
4,6,databases,50,8960,8959
5,8,libsvm,11,18,17
6,10,scalability,21,,
7,11,efficiency,23,142,141
8,12,performance,65,,
9,13,nosql,18,119,118
10,14,relational-dbms,5,,
11,15,clustering,444,145,144
12,16,octave,8,68,67
13,17,k-means,126,8958,8957
14,19,algorithms,208,8932,8931
15,21,tools,43,,
16,22,processing,10,,
17,23,apache-hadoop,94,5840,5839
18,24,r,713,49,48
19,26,data-cleaning,196,8940,8939
20,27,statistics,305,3790,3789
21,29,distributed,24,,
22,31,neo4j,10,181,180
23,35,information-retrieval,56,,
24,36,google,11,,
25,37,search,27,,
26,39,education,28,8276,8275
27,40,open-source,16,,
28,42,similarity,90,,
29,43,data-stream-mining,11,109,108
30,45,dimensionality-reduction,91,8975,8974
31,46,python,1256,5523,5522
32,47,nlp,486,147,146
33,48,language-model,18,,
34,50,topic-model,57,8400,8399
35,51,lda,52,6763,6762
36,54,feature-selection,236,8936,8935
37,55,map-reduce,22,137,136
38,56,mongodb,10,178,177
39,59,indexing,6,152,151
40,60,data-indexing-techniques,5,149,148
41,61,dataset,415,8889,8888
42,62,.net,5,168,167
43,64,pandas,210,9185,9184
44,65,parallel,20,,
45,66,metadata,7,,
46,67,parsing,18,,
47,71,social-network-analysis,60,8973,8972
48,72,time-series,353,8904,8903
49,73,javascript,13,,
50,74,visualization,237,8952,8951
51,76,svm,201,8574,8573
52,77,classification,868,4911,4910
53,78,binary,32,,
54,80,optimization,110,8954,8953
55,81,neural-network,1168,8885,8884
56,82,usecase,4,,
57,83,consumerweb,6,,
58,84,parameter,19,,
59,86,clusters,25,,
60,87,aws,15,,
61,90,text-mining,316,8900,8899
62,94,freebase,3,,
63,95,knowledge-base,16,,
64,100,confusion-matrix,27,9043,9042
65,101,accuracy,60,,
66,102,categorical-data,106,8977,8976
67,104,data-formats,15,,
68,105,hierarchical-data-format,11,,
69,108,sql,34,8990,8989
70,109,research,17,,
71,110,experiments,17,,
72,113,random-forest,215,8938,8937
73,114,logistic-regression,188,8934,8933
74,115,evaluation,66,,
75,116,crawling,9,,
76,119,anonymization,5,,
77,120,beginner,90,10335,10334
78,123,graphs,79,,
79,124,cross-validation,121,8988,8987
80,126,sampling,49,,
81,128,scikit-learn,506,5896,5895
82,129,kaggle,24,,
83,135,gradient-descent,109,,
84,136,feature-extraction,149,10019,10018
85,138,state-of-the-art,4,,
86,139,career,35,,
87,143,genetic,3,,
88,144,correlation,98,8969,8968
89,146,error-handling,11,,
90,147,apache-pig,8,22402,22401
91,156,glm,13,,
92,157,regression,339,8906,8905
93,158,scala,28,,
94,159,csv,25,8992,8991
95,160,online-learning,27,,
96,162,unbalanced-classes,72,,
97,164,gbm,31,9096,9095
98,167,marketing,15,,
99,168,predictive-modeling,436,8902,8901
100,175,library,10,,
101,179,java,34,10021,10020
102,180,energy,3,,
103,184,anomaly-detection,68,,
104,185,forecast,49,,
105,186,sequence,25,9053,9052
106,191,hbase,2,,
107,193,tableau,17,,
108,194,deep-learning,886,8956,8955
109,195,ensemble-modeling,53,,
110,197,infographics,5,,
111,200,feature-scaling,40,21855,21854
112,201,apache-mahout,18,,
113,202,hive,9,,
114,205,object-recognition,31,,
115,206,hog,2,,
116,207,computer-vision,96,9205,9204
117,211,methods,8,,
118,212,scoring,14,,
119,213,ranking,33,9049,9048
120,214,sports,5,,
121,215,markov-process,28,8986,8985
122,216,matlab,68,,
123,217,simulation,12,,
124,218,finance,16,,
125,219,apache-spark,150,8971,8970
126,220,linear-regression,156,8887,8886
127,222,version-control,4,,
128,223,convnet,217,12581,12580
129,224,image-classification,147,,
130,225,untagged,2,10135,10134
131,226,software-development,9,,
132,227,rstudio,15,,
133,229,programming,21,,
134,232,notation,5,,
135,233,terminology,38,9059,9058
136,235,sas,9,9051,9050
137,236,hyperparameter,37,21852,21851
138,237,survival-analysis,11,9045,9044
139,238,discriminant-analysis,7,9106,9105
140,239,multiclass-classification,110,,
141,240,books,12,,
142,243,genetic-algorithms,15,,
143,244,featurization,4,,
144,249,decision-trees,181,16988,16987
145,250,self-study,19,,
146,251,named-entity-recognition,26,,
147,254,bioinformatics,9,9098,9097
148,255,data,178,,
149,261,multitask-learning,10,6442,6441
150,266,word-embeddings,84,6614,6613
151,269,software-recommendation,21,9057,9056
152,271,preprocessing,96,,
153,272,multilabel-classification,63,6780,6779
154,273,reference-request,39,9055,9054
155,274,julia,4,12599,12598
156,276,loss-function,65,,
157,278,ggplot2,13,21818,21817
158,279,normalization,39,,
159,280,weighted-data,16,,
160,281,feature-construction,26,,
161,282,supervised-learning,94,9047,9046
162,283,descriptive-statistics,21,9104,9103
163,284,aggregation,11,,
164,286,c,4,,
165,287,missing-data,41,,
166,288,markov,5,,
167,289,expectation-maximization,5,9102,9101
168,290,distance,40,12579,12578
169,291,cosine-distance,19,,
170,293,learning,8,,
171,298,ipython,20,,
172,299,anaconda,5,,
173,301,numerical,8,,
174,302,history,3,,
175,303,outlier,45,12561,12560
176,304,unsupervised-learning,104,9094,9093
177,305,probability,78,,
178,307,autoencoder,58,8674,8673
179,310,backpropagation,82,,
180,311,theano,43,,
